ranking,name,review_counts,url,phone,address,review_stars
,"            Shanghai River
        ",394,https://www.yelp.ca/biz/shanghai-river-richmond,"        (604) 233-8885
    ","             7831 Westminster Highway Richmond ,  BC   V6X 4J4 
        ",4.0
,"            Xian Cuisine
        ",32,https://www.yelp.ca/biz/xian-cuisine-richmond,"        (604) 279-9727
    ","             8260 Westminster Highway Richmond ,  BC   V6X 1A6 
        ",4.0
,"            Deer Garden Signatures
        ",129,https://www.yelp.ca/biz/deer-garden-signatures-richmond,"        (604) 278-9229
    ","             8580 Alexandra Road Suite 2015 Richmond ,  BC   V6X 1C3 
        ",3.5
,"            Parker Place Meat & B.B.Q
        ",81,https://www.yelp.ca/biz/parker-place-meat-and-b-b-q-richmond,"        (604) 233-1138
    ","             1020 - 4380 No 3 Rd Richmond ,  BC   V6X 3V7 
        ",4.5
,"            Kongee Dinesty
        ",35,https://www.yelp.ca/biz/kongee-dinesty-richmond,"        (604) 278-0077
    ","             150-9020 Capstan Way Richmond ,  BC   V6X 3V9 
        ",4.0
,"            Shanghai Morning Restaurant
        ",65,https://www.yelp.ca/biz/shanghai-morning-restaurant-richmond,"        (778) 297-6098
    ","             8291 Alexandra Road Suite 125 Richmond ,  BC   V6X 1C3 
        ",4.0
,"            Dinesty Dumpling House
        ",201,https://www.yelp.ca/biz/dinesty-dumpling-house-richmond-2,"        (604) 303-7772
    ","             8111 Ackroyd Road Suite 160 Richmond ,  BC   V6X 3J9 
        ",3.5
,"            R & H Chinese Food
        ",50,https://www.yelp.ca/biz/r-and-h-chinese-food-richmond,"        (778) 297-5668
    ","             5300 No 3 Road Richmond ,  BC   V6X 2X9 
        ",4.0
,"            Wonderful House Restaurant
        ",11,https://www.yelp.ca/biz/wonderful-house-restaurant-burnaby,"        (604) 525-1666
    ","             7090 Kingsway Burnaby Burnaby ,  BC   V5E 
        ",4.0
,"            HK BBQ Master
        ",166,https://www.yelp.ca/biz/hk-bbq-master-richmond,"        (604) 272-6568
    ","             4651 No 3 Road Suite 145 Richmond ,  BC   V6X 2C4 
        ",4.0
,"            Kirin Seafood Restaurant
        ",207,https://www.yelp.ca/biz/kirin-seafood-restaurant-richmond,"        (604) 303-8833
    ","             7900 Westminster Hwy 2nd Fl Richmond ,  BC   V6X 1A5 
        ",4.0
,"            Chongqing
        ",192,https://www.yelp.ca/biz/chongqing-vancouver,"        (604) 568-0303
    ","             1260 Robson Street Vancouver ,  BC   V6E 1C1 
        ",4.0
,"            Long’s Noodle House
        ",159,https://www.yelp.ca/biz/longs-noodle-house-vancouver,"        (604) 879-7879
    ","             4853 Main Street Vancouver ,  BC   V5V 3R9 
        ",4.0
,"            Luxe Chinese Seafood Restaurant
        ",35,https://www.yelp.ca/biz/luxe-chinese-seafood-restaurant-langley?search_key=56892,"        (604) 530-8286
    ","             19653 Willowbrook Drive Langley ,  BC   V2Y 1A5 
        ",3.5
,"            Countryside North East Chinese Restaurant
        ",7,https://www.yelp.ca/biz/countryside-north-east-chinese-restaurant-richmond?search_key=77780,"        (604) 773-3032
    ","             8571 Alexandra Road Suite 108 Richmond ,  BC   V6X 1C3 
        ",4.0
